Rank,Company,Symbol,Rating,Score,Why We Like It,Main Strengths,Key Concerns,P/E Ratio,Market Cap,Sector,Action
1,AOS Corporation,AOS,⚖️ HOLD,70%,Meets basic value investing criteria,Standard investment metrics,🏚️ Weak competitive position | ⚠️ Poor margin of safety,N/A,"$20,000,000,000",Technology,Decent investment but monitor closely for improvements
2,ABNB Corporation,ABNB,⚖️ HOLD,70%,Meets basic value investing criteria,Standard investment metrics,🏚️ Weak competitive position | ⚠️ Poor margin of safety,N/A,"$20,000,000,000",Technology,Decent investment but monitor closely for improvements
3,MO Corporation,MO,⚖️ HOLD,70%,Meets basic value investing criteria,Standard investment metrics,🏚️ Weak competitive position | ⚠️ Poor margin of safety,N/A,"$20,000,000,000",Technology,Decent investment but monitor closely for improvements
4,AME Corporation,AME,⚖️ HOLD,70%,Meets basic value investing criteria,Standard investment metrics,🏚️ Weak competitive position | ⚠️ Poor margin of safety,N/A,"$20,000,000,000",Technology,Decent investment but monitor closely for improvements
5,ACGL Corporation,ACGL,⚖️ HOLD,70%,Meets basic value investing criteria,Standard investment metrics,🏚️ Weak competitive position | ⚠️ Poor margin of safety,N/A,"$20,000,000,000",Technology,Decent investment but monitor closely for improvements
6,ABT Corporation,ABT,⚖️ HOLD,69%,Meets basic value investing criteria,Standard investment metrics,🏚️ Weak competitive position | ⚠️ Poor margin of safety,N/A,"$35,000,000,000",Technology,Decent investment but monitor closely for improvements
7,AKAM Corporation,AKAM,⚖️ HOLD,69%,Meets basic value investing criteria,Standard investment metrics,🏚️ Weak competitive position | ⚠️ Poor margin of safety,N/A,"$35,000,000,000",Technology,Decent investment but monitor closely for improvements
8,AMZN Corporation,AMZN,⚖️ HOLD,69%,Meets basic value investing criteria,Standard investment metrics,🏚️ Weak competitive position | ⚠️ Poor margin of safety,N/A,"$35,000,000,000",Technology,Decent investment but monitor closely for improvements
9,AMGN Corporation,AMGN,⚖️ HOLD,69%,Meets basic value investing criteria,Standard investment metrics,🏚️ Weak competitive position | ⚠️ Poor margin of safety,N/A,"$35,000,000,000",Technology,Decent investment but monitor closely for improvements
10,ADM Corporation,ADM,⚖️ HOLD,69%,Meets basic value investing criteria,Standard investment metrics,🏚️ Weak competitive position | ⚠️ Poor margin of safety,N/A,"$35,000,000,000",Technology,Decent investment but monitor closely for improvements
11,AMD Corporation,AMD,⚖️ HOLD,66%,Meets basic value investing criteria,Standard investment metrics,🏚️ Weak competitive position | ⚠️ Poor margin of safety,N/A,"$95,000,000,000",Technology,Decent investment but monitor closely for improvements
12,ALLE Corporation,ALLE,⚖️ HOLD,66%,Meets basic value investing criteria,Standard investment metrics,🏚️ Weak competitive position | ⚠️ Poor margin of safety,N/A,"$95,000,000,000",Technology,Decent investment but monitor closely for improvements
13,AXP Corporation,AXP,⚖️ HOLD,66%,Meets basic value investing criteria,Standard investment metrics,🏚️ Weak competitive position | ⚠️ Poor margin of safety,N/A,"$95,000,000,000",Technology,Decent investment but monitor closely for improvements
14,APA Corporation,APA,⚖️ HOLD,66%,Meets basic value investing criteria,Standard investment metrics,🏚️ Weak competitive position | ⚠️ Poor margin of safety,N/A,"$95,000,000,000",Technology,Decent investment but monitor closely for improvements
15,T Corporation,T,⚖️ HOLD,66%,Meets basic value investing criteria,Standard investment metrics,🏚️ Weak competitive position | ⚠️ Poor margin of safety,N/A,"$95,000,000,000",Technology,Decent investment but monitor closely for improvements
16,MMM Corporation,MMM,⚖️ HOLD,65%,Meets basic value investing criteria,Standard investment metrics,🏚️ Weak competitive position | ⚠️ Poor margin of safety,N/A,"$5,000,000,000",Technology,Decent investment but monitor closely for improvements
17,APD Corporation,APD,⚖️ HOLD,65%,Meets basic value investing criteria,Standard investment metrics,🏚️ Weak competitive position | ⚠️ Poor margin of safety,N/A,"$5,000,000,000",Technology,Decent investment but monitor closely for improvements
18,GOOG Corporation,GOOG,⚖️ HOLD,65%,Meets basic value investing criteria,Standard investment metrics,🏚️ Weak competitive position | ⚠️ Poor margin of safety,N/A,"$5,000,000,000",Technology,Decent investment but monitor closely for improvements
19,AMP Corporation,AMP,⚖️ HOLD,65%,Meets basic value investing criteria,Standard investment metrics,🏚️ Weak competitive position | ⚠️ Poor margin of safety,N/A,"$5,000,000,000",Technology,Decent investment but monitor closely for improvements
20,APTV Corporation,APTV,⚖️ HOLD,65%,Meets basic value investing criteria,Standard investment metrics,🏚️ Weak competitive position | ⚠️ Poor margin of safety,N/A,"$5,000,000,000",Technology,Decent investment but monitor closely for improvements
21,ACN Corporation,ACN,⚖️ HOLD,64%,Meets basic value investing criteria,Standard investment metrics,🏚️ Weak competitive position | ⚠️ Poor margin of safety,N/A,"$65,000,000,000",Technology,Decent investment but monitor closely for improvements
22,ARE Corporation,ARE,⚖️ HOLD,64%,Meets basic value investing criteria,Standard investment metrics,🏚️ Weak competitive position | ⚠️ Poor margin of safety,N/A,"$65,000,000,000",Technology,Decent investment but monitor closely for improvements
23,AEE Corporation,AEE,⚖️ HOLD,64%,Meets basic value investing criteria,Standard investment metrics,🏚️ Weak competitive position | ⚠️ Poor margin of safety,N/A,"$65,000,000,000",Technology,Decent investment but monitor closely for improvements
24,ADI Corporation,ADI,⚖️ HOLD,64%,Meets basic value investing criteria,Standard investment metrics,🏚️ Weak competitive position | ⚠️ Poor margin of safety,N/A,"$65,000,000,000",Technology,Decent investment but monitor closely for improvements
25,AJG Corporation,AJG,⚖️ HOLD,64%,Meets basic value investing criteria,Standard investment metrics,🏚️ Weak competitive position | ⚠️ Poor margin of safety,N/A,"$65,000,000,000",Technology,Decent investment but monitor closely for improvements
26,ABBV Corporation,ABBV,⚖️ HOLD,62%,Meets basic value investing criteria,Standard investment metrics,🏚️ Weak competitive position | ⚠️ Poor margin of safety,N/A,"$50,000,000,000",Technology,Decent investment but monitor closely for improvements
27,ALB Corporation,ALB,⚖️ HOLD,62%,Meets basic value investing criteria,Standard investment metrics,🏚️ Weak competitive position | ⚠️ Poor margin of safety,N/A,"$50,000,000,000",Technology,Decent investment but monitor closely for improvements
28,AMCR Corporation,AMCR,⚖️ HOLD,62%,Meets basic value investing criteria,Standard investment metrics,🏚️ Weak competitive position | ⚠️ Poor margin of safety,N/A,"$50,000,000,000",Technology,Decent investment but monitor closely for improvements
29,APH Corporation,APH,⚖️ HOLD,62%,Meets basic value investing criteria,Standard investment metrics,🏚️ Weak competitive position | ⚠️ Poor margin of safety,N/A,"$50,000,000,000",Technology,Decent investment but monitor closely for improvements
30,ANET Corporation,ANET,⚖️ HOLD,62%,Meets basic value investing criteria,Standard investment metrics,🏚️ Weak competitive position | ⚠️ Poor margin of safety,N/A,"$50,000,000,000",Technology,Decent investment but monitor closely for improvements
31,ADBE Corporation,ADBE,⚖️ HOLD,61%,Meets basic value investing criteria,Standard investment metrics,🏚️ Weak competitive position | ⚠️ Poor margin of safety,N/A,"$80,000,000,000",Technology,Decent investment but monitor closely for improvements
32,ALGN Corporation,ALGN,⚖️ HOLD,61%,Meets basic value investing criteria,Standard investment metrics,🏚️ Weak competitive position | ⚠️ Poor margin of safety,N/A,"$80,000,000,000",Technology,Decent investment but monitor closely for improvements
33,AEP Corporation,AEP,⚖️ HOLD,61%,Meets basic value investing criteria,Standard investment metrics,🏚️ Weak competitive position | ⚠️ Poor margin of safety,N/A,"$80,000,000,000",Technology,Decent investment but monitor closely for improvements
34,AON Corporation,AON,⚖️ HOLD,61%,Meets basic value investing criteria,Standard investment metrics,🏚️ Weak competitive position | ⚠️ Poor margin of safety,N/A,"$80,000,000,000",Technology,Decent investment but monitor closely for improvements
35,AIZ Corporation,AIZ,⚖️ HOLD,61%,Meets basic value investing criteria,Standard investment metrics,🏚️ Weak competitive position | ⚠️ Poor margin of safety,N/A,"$80,000,000,000",Technology,Decent investment but monitor closely for improvements
36,AES Corporation,AES,⚠️ WEAK HOLD,55%,Meets basic value investing criteria,Standard investment metrics,🏚️ Weak competitive position | ⚠️ Poor margin of safety,N/A,"$110,000,000,000",Technology,"Below average metrics, consider other options first"
37,AFL Corporation,AFL,⚠️ WEAK HOLD,55%,Meets basic value investing criteria,Standard investment metrics,🏚️ Weak competitive position | ⚠️ Poor margin of safety,N/A,"$125,000,000,000",Technology,"Below average metrics, consider other options first"
38,LNT Corporation,LNT,⚠️ WEAK HOLD,55%,Meets basic value investing criteria,Standard investment metrics,🏚️ Weak competitive position | ⚠️ Poor margin of safety,N/A,"$110,000,000,000",Technology,"Below average metrics, consider other options first"
39,ALL Corporation,ALL,⚠️ WEAK HOLD,55%,Meets basic value investing criteria,Standard investment metrics,🏚️ Weak competitive position | ⚠️ Poor margin of safety,N/A,"$125,000,000,000",Technology,"Below average metrics, consider other options first"
40,AIG Corporation,AIG,⚠️ WEAK HOLD,55%,Meets basic value investing criteria,Standard investment metrics,🏚️ Weak competitive position | ⚠️ Poor margin of safety,N/A,"$110,000,000,000",Technology,"Below average metrics, consider other options first"
41,AMT Corporation,AMT,⚠️ WEAK HOLD,55%,Meets basic value investing criteria,Standard investment metrics,🏚️ Weak competitive position | ⚠️ Poor margin of safety,N/A,"$125,000,000,000",Technology,"Below average metrics, consider other options first"
