Rank,Symbol,Company Name,Sector,Overall Score,Investment Rating,Explanation,Market Cap ($),P/E Ratio,Gross Margin (%),ROE (%),Sales Growth (%),Key Strengths,Key Concerns,Analysis Date
1,AOS,AOS Corporation,Technology,0.70,HOLD ⭐⭐⭐,Decent investment but monitor closely,"20,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.819492
2,ABNB,ABNB Corporation,Technology,0.70,HOLD ⭐⭐⭐,Decent investment but monitor closely,"20,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.821986
3,MO,MO Corporation,Technology,0.70,HOLD ⭐⭐⭐,Decent investment but monitor closely,"20,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.825377
4,AME,AME Corporation,Technology,0.70,HOLD ⭐⭐⭐,Decent investment but monitor closely,"20,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.832287
5,ACGL,ACGL Corporation,Technology,0.70,HOLD ⭐⭐⭐,Decent investment but monitor closely,"20,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.834661
6,ABT,ABT Corporation,Technology,0.69,HOLD ⭐⭐⭐,Decent investment but monitor closely,"35,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.819839
7,AKAM,AKAM Corporation,Technology,0.69,HOLD ⭐⭐⭐,Decent investment but monitor closely,"35,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.822187
8,AMZN,AMZN Corporation,Technology,0.69,HOLD ⭐⭐⭐,Decent investment but monitor closely,"35,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.825791
9,AMGN,AMGN Corporation,Technology,0.69,HOLD ⭐⭐⭐,Decent investment but monitor closely,"35,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.832506
10,ADM,ADM Corporation,Technology,0.69,HOLD ⭐⭐⭐,Decent investment but monitor closely,"35,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.834880
11,AMD,AMD Corporation,Technology,0.66,HOLD ⭐⭐⭐,Decent investment but monitor closely,"95,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.820938
12,ALLE,ALLE Corporation,Technology,0.66,HOLD ⭐⭐⭐,Decent investment but monitor closely,"95,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.823162
13,AXP,AXP Corporation,Technology,0.66,HOLD ⭐⭐⭐,Decent investment but monitor closely,"95,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.830603
14,APA,APA Corporation,Technology,0.66,HOLD ⭐⭐⭐,Decent investment but monitor closely,"95,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.833442
15,T,T Corporation,Technology,0.66,HOLD ⭐⭐⭐,Decent investment but monitor closely,"95,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.835738
16,MMM,MMM Corporation,Technology,0.65,HOLD ⭐⭐⭐,Decent investment but monitor closely,"5,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.819186
17,APD,APD Corporation,Technology,0.65,HOLD ⭐⭐⭐,Decent investment but monitor closely,"5,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.821783
18,GOOG,GOOG Corporation,Technology,0.65,HOLD ⭐⭐⭐,Decent investment but monitor closely,"5,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:31:52.825012
